"","Sampling_site","Transect_Kick","join_key","PORIFERA","CNIDARIA","BRYOZOA","BRYOZOA","PLATYHELMINTHES","PLATYHELMINTHES_Dendrocoelidae","PLATYHELMINTHES_Dugesiidae","PLATYHELMINTHES_Planariidae","""NEMATHELMINTHES""","""NEMATHELMINTHES""","ANNELIDA","Hirudinea","Hirudinea_Erpobdellidae","Hirudinea_Glossiphoniidae","Hirudinea_Hirudidae_(Tachet)","Hirudinea_Piscicolidae","Hirudinea","Oligochaeta","Oligochaeta","MOLLUSCA","Gastropoda","Gastropoda_Acroloxidae","Gastropoda_Ancylidae_(Tachet)","Gastropoda_Bithyniidae","Gastropoda_Ferrissiidae_(Tachet)","Gastropoda_Hydrobiidae","Gastropoda_Lymnaeidae","Gastropoda_Neritidae","Gastropoda_Physidae","Gastropoda_Planorbidae","Gastropoda_Valvatidae","Gastropoda_Viviparidae","Gastropoda_Potamopyrgus_antipodarum","Bivalvia","Bivalvia_Corbiculidae*","Bivalvia_Dreissenidae*","Bivalvia_Sphaeriidae","Bivalvia_Unionidae","Bivalvia","ARTHROPODA","Arachnida_(Inf.-Cl.)_Acari","Arachnida_(Inf.-Cl.)_Acari_Hydracarina","Crustacea","Ostracoda","Copepoda","Amphipoda","Amphipoda_Corophiidae*","Amphipoda_Gammaridae","Amphipoda_Niphargidae","Isopoda","Isopoda_Asellidae","Isopoda_Janiridae*","Mysida","Mysida_Mysidae*","Decapoda","Decapoda_Astacidae","Decapoda_Cambaridae*","Insecta","Ephemeroptera","Ephemeroptera_Ameletidae","Ephemeroptera_Baetidae","Ephemeroptera_Caenidae","Ephemeroptera_Ephemerellidae","Ephemeroptera_Ephemeridae","Ephemeroptera_Heptageniidae","Ephemeroptera_Leptophlebiidae","Ephemeroptera_Oligoneuriidae","Ephemeroptera_Polymitarcyidae","Ephemeroptera_Potamanthidae","Ephemeroptera_Siphlonuridae","Odonata","Odonata_Aeshnidae","Odonata_Calopterygidae","Odonata_Coenagrionidae","Odonata_Cordulegastridae","Odonata_Corduliidae","Odonata_Gomphidae","Odonata_Lestidae","Odonata_Libellulidae","Odonata_Platycnemididae","Plecoptera","Plecoptera_Capniidae","Plecoptera_Chloroperlidae","Plecoptera_Leuctridae","Plecoptera_Nemouridae","Plecoptera_Perlidae","Plecoptera_Perlodidae","Plecoptera_Taeniopterygidae","Heteroptera","Heteroptera_Aphelocheiridae","Heteroptera_Corixidae","Heteroptera_Gerridae","Heteroptera_Hebridae","Heteroptera_Hydrometridae","Heteroptera_Mesoveliidae","Heteroptera_Naucoridae","Heteroptera_Nepidae","Heteroptera_Notonectidae","Heteroptera_Pleidae","Heteroptera_Veliidae","Heteroptera_PUPPE:_Heteroptera","Megaloptera","Megaloptera_Sialidae","Neuroptera","Neuroptera_Osmylidae","Neuroptera_Sisyridae","Coleoptera","Coleoptera_Curculionidae","Coleoptera_Chrysomelidae","Coleoptera_Dryopidae","Coleoptera_Dytiscidae","Coleoptera_Elmidae_(Larve)","Coleoptera_Elmidae_(adult)","Coleoptera_Elmis_sp.","Coleoptera_Elmis_sp._(adult)","Coleoptera_Esolus_sp.","Coleoptera_Esolus_sp._(adult)","Coleoptera_Limnius_sp._","Coleoptera_Limnius_sp.__(adult)","Coleoptera_Oulimnius_sp.","Coleoptera_Riolus_sp.","Coleoptera_Gyrinidae","Coleoptera_Haliplidae","Coleoptera_Helophoridae_(Tachet)","Coleoptera_Hydraenidae","Coleoptera_Hydrochidae_(Tachet)","Coleoptera_Hydrophilidae","Coleoptera_Hydroscaphidae","Coleoptera_Hygrobiidae","Coleoptera_Noteridae","Coleoptera_Psephenidae","Coleoptera_Scirtidae","Coleoptera_Spercheidae_(Tachet)","Trichoptera","Trichoptera_Apataniidae","Trichoptera_Beraeidae","Trichoptera_Brachycentridae","Trichoptera_Ecnomidae","Trichoptera_Glossosomatidae","Trichoptera_Goeridae","Trichoptera_Helicopsychidae","Trichoptera_Hydropsychidae","Trichoptera_Hydroptilidae","Trichoptera_Lepidostomatidae","Trichoptera_Leptoceridae","Trichoptera_Limnephilidae","Trichoptera_Molannidae","Trichoptera_Odontoceridae","Trichoptera_Philopotamidae","Trichoptera_Phryganeidae","Trichoptera_Polycentropodidae","Trichoptera_Psychomyiidae","Trichoptera_Ptilocolepidae","Trichoptera_Rhyacophilidae","Trichoptera_Sericostomatidae","Trichoptera_PUPPE:_Rhyacophilidae","Trichoptera_PUPPE:_Trichoptera","Lepidoptera","Diptera","Diptera_Anthomyiidae/Muscidae","Diptera_Athericidae","Diptera_Atherix_ibis","Diptera_Ibisia_marginata","Diptera_Blephariceridae","Diptera_Blephericera_sp.","Diptera_Hapalothrix_sp.","Diptera_Liponeura_sp.","Diptera_Ceratopogonidae","Diptera_Chaoboridae","Diptera_Chironomidae","Diptera_sF._Diamesinae","Diptera_sF._Orthocladiinae","Diptera_sF._Tanypodinae","Diptera_Tr._Tanytarsini","Diptera_Tr._Chironomini","Diptera_Pseudodiamesa_sp.","Diptera_Culicidae","Diptera_Cylindrotomidae","Diptera_Dixidae","Diptera_Dolichopodidae","Diptera_Empididae","Diptera_Ephydridae","Diptera_Limoniidae/Pediciidae","Diptera_Antocha_sp._","Diptera_Dicranota_sp.","Diptera_Eloeophila_sp.","Diptera_Hexatoma_sp._","Diptera_Molophilus_sp.","Diptera_Rhabdomastix_sp.","Diptera_Rhypholophus_sp.","Diptera_Psychodidae","Diptera_Ptychopteridae","Diptera_Rhagionidae","Diptera_Scathophagidae","Diptera_Sciomyzidae","Diptera_Simuliidae","Diptera_Stratiomyidae","Diptera_Syrphidae","Diptera_Tabanidae","Diptera_Thaumaleidae","Diptera_Tipulidae","Diptera_PUPPE:_Chironomidae/Diptera","Diptera_PUPPE:_Simuliidae"
"X283","VR3","2-1","VR3-2-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83",NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12",NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"254","71","183",NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,"14","1","2",NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"31","1"
"X284","VR3","2-2","VR3-2-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"88",NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"257","119","138",NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,"7","1","2",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"25",NA
"X285","VR3","2-3","VR3-2-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"13","5","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA
"X286","VR3","3-1","VR3-3-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24",NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"181","46","135",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,"12",NA
"X287","VR3","3-2","VR3-3-2",NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8",NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"165","58","107",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42",NA,NA,NA,NA,NA,"10","1"
"X288","VR3","3-3","VR3-3-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"8","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8",NA,NA,NA,NA,NA,"5",NA
"X289","VR3","4-1","VR3-4-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47",NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29",NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"199","50","149",NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,"4",NA,"1",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1","21",NA
"X290","VR3","4-2","VR3-4-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21",NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"61","13","48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",NA,NA,NA,NA,NA,"3",NA
"X291","VR3","4-3","VR3-4-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"5","2","2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"2","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA
"X292","VR6","1-1","VR6-1-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"354",NA,NA,NA,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"115",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"333","3","2",NA,"328",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"X293","VR6","1-2","VR6-1-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"136",NA,NA,NA,"101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"13",NA,"1",NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,"4","2",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"494",NA,NA,NA,NA,NA,"1",NA
"X294","VR6","1-3","VR6-1-3",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"429",NA,NA,NA,"128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"396","9","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23",NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"259","2","14",NA,"243",NA,NA,NA,NA,NA,NA,NA,NA,"20","3","7",NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,"147",NA,NA,NA,NA,NA,"4","6"
"X295","VR6","2-1","VR6-2-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"412",NA,NA,NA,"74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"273","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"110",NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"1240",NA,"50","2","1188",NA,NA,NA,NA,NA,NA,"4",NA,"9",NA,"6",NA,"3",NA,NA,NA,"3",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,"35","1"
"X296","VR6","2-2","VR6-2-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"167",NA,NA,NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,"1",NA,"56",NA,"4",NA,"52",NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,"2",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,"3",NA
"X297","VR6","2-3","VR6-2-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"140",NA,NA,NA,"113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"48","2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"8",NA,"5",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,"2",NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,"37",NA,NA,NA,NA,NA,"6",NA
"X298","VR6","3-1","VR6-3-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"455",NA,NA,NA,"99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"86","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"516",NA,"4",NA,"512",NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,"3",NA,"2",NA,NA,NA,"1",NA,NA,NA,NA,"358",NA,NA,NA,NA,NA,"5",NA
"X299","VR6","3-2","VR6-3-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"471",NA,NA,NA,"156",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"42","1","8",NA,"33",NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,"2",NA,"4",NA,NA,NA,"1",NA,NA,NA,NA,"52",NA,NA,NA,NA,NA,"1",NA
